education,gender,marital_status,occupation,race,workclass,age,hours_per_week,income
Bachelors,Female,Single,Professional,White,Private,33,45,0
HS-grad,Male,Divorced,White-Collar,White,Self-Employed,42,55,0
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,24,25,0
HS-grad,Female,Divorced,White-Collar,White,Private,51,40,0
Masters,Male,Married,Professional,White,Government,45,55,1
Assoc,Male,Single,Blue-Collar,White,Private,31,60,0
Masters,Female,Divorced,White-Collar,White,Government,67,40,0
HS-grad,Male,Married,Sales,White,Self-Employed,25,60,0
School,Male,Single,White-Collar,White,Private,18,20,0
HS-grad,Female,Divorced,Sales,White,Private,37,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,27,40,0
Some-college,Male,Single,Professional,White,Private,80,60,0
Assoc,Male,Married,Professional,White,Private,42,40,1
HS-grad,Male,Married,Blue-Collar,Other,Private,28,40,0
Some-college,Male,Married,Sales,White,Private,44,50,1
HS-grad,Female,Married,Blue-Collar,White,Private,33,40,0
HS-grad,Female,Divorced,Blue-Collar,White,Private,39,40,0
HS-grad,Female,Divorced,Service,Other,Government,45,40,0
Some-college,Male,Married,White-Collar,White,Self-Employed,51,45,1
School,Male,Married,Other/Unknown,White,Other/Unknown,62,40,1
HS-grad,Male,Married,Service,White,Government,55,40,0
Bachelors,Female,Married,White-Collar,White,Private,55,40,0
HS-grad,Male,Single,Sales,White,Private,30,40,0
HS-grad,Female,Single,Professional,Other,Private,48,28,0
HS-grad,Male,Single,Blue-Collar,White,Private,28,40,0
Masters,Male,Married,White-Collar,Other,Private,34,40,1
Assoc,Male,Married,Blue-Collar,White,Private,34,48,0
HS-grad,Male,Married,Blue-Collar,White,Private,35,40,0
HS-grad,Male,Married,Sales,White,Private,37,50,0
HS-grad,Male,Married,White-Collar,Other,Government,31,50,0
Bachelors,Male,Married,Professional,White,Government,34,55,0
School,Male,Married,Blue-Collar,White,Private,27,42,0
HS-grad,Male,Married,Blue-Collar,White,Private,50,50,1
Bachelors,Female,Single,Professional,White,Private,49,45,0
Masters,Male,Married,Professional,White,Private,45,55,1
HS-grad,Female,Separated,Blue-Collar,White,Private,67,40,0
HS-grad,Female,Widowed,Blue-Collar,Other,Private,53,40,0
School,Male,Divorced,Blue-Collar,White,Private,45,40,0
Bachelors,Male,Married,Service,White,Government,45,50,1
HS-grad,Male,Married,Blue-Collar,White,Government,39,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,35,60,0
School,Female,Widowed,Other/Unknown,White,Other/Unknown,39,20,0
Bachelors,Female,Single,Service,White,Private,30,35,0
Some-college,Female,Single,Service,White,Private,21,20,0
School,Male,Married,Blue-Collar,Other,Private,42,40,0
School,Male,Married,Service,Other,Private,30,40,0
Assoc,Male,Married,Service,Other,Private,50,40,0
Masters,Male,Married,Professional,White,Private,67,60,1
Some-college,Male,Single,White-Collar,White,Private,23,20,0
School,Male,Separated,Other/Unknown,White,Other/Unknown,28,30,0
Some-college,Female,Single,Service,White,Private,25,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,25,40,0
Some-college,Female,Single,Other/Unknown,White,Other/Unknown,19,40,0
Assoc,Female,Single,White-Collar,White,Government,31,35,0
Masters,Male,Married,White-Collar,White,Private,53,48,1
Some-college,Male,Married,White-Collar,Other,Private,37,60,1
HS-grad,Female,Divorced,White-Collar,White,Private,43,40,0
Masters,Male,Married,White-Collar,White,Private,47,55,1
Bachelors,Male,Married,Sales,White,Self-Employed,46,45,0
Some-college,Female,Single,Other/Unknown,White,Other/Unknown,20,8,0
School,Male,Divorced,Blue-Collar,White,Private,39,40,0
Assoc,Male,Divorced,Sales,White,Private,30,52,0
Some-college,Male,Married,Blue-Collar,White,Private,53,40,0
Bachelors,Female,Single,White-Collar,Other,Self-Employed,25,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,43,30,0
School,Male,Single,Blue-Collar,White,Private,19,25,0
Bachelors,Male,Single,Service,White,Government,27,12,0
Bachelors,Female,Single,White-Collar,White,Private,26,40,0
HS-grad,Female,Separated,Blue-Collar,Other,Private,32,60,0
HS-grad,Male,Married,Sales,White,Private,33,40,1
School,Female,Widowed,Service,Other,Private,62,25,0
School,Male,Separated,Blue-Collar,Other,Private,33,35,0
Some-college,Male,Married,White-Collar,Other,Private,29,50,0
School,Female,Married,Service,White,Self-Employed,56,40,0
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,38,24,0
Some-college,Female,Divorced,White-Collar,White,Private,44,50,0
HS-grad,Male,Single,Sales,White,Private,35,40,1
HS-grad,Male,Divorced,Service,White,Private,40,60,0
Assoc,Male,Single,Other/Unknown,White,Other/Unknown,70,30,0
Masters,Male,Married,Professional,White,Government,49,40,1
School,Male,Married,Blue-Collar,Other,Private,68,44,0
Assoc,Male,Single,Service,White,Private,24,45,0
Some-college,Female,Divorced,White-Collar,White,Government,42,38,0
Bachelors,Female,Single,White-Collar,Other,Private,34,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,28,40,0
School,Female,Married,Service,White,Government,31,40,0
Some-college,Female,Single,Other/Unknown,White,Other/Unknown,19,10,0
Some-college,Male,Single,Other/Unknown,White,Other/Unknown,20,25,0
School,Male,Single,Other/Unknown,Other,Other/Unknown,20,40,0
HS-grad,Female,Single,White-Collar,Other,Private,27,37,0
Some-college,Male,Single,Blue-Collar,White,Private,36,40,0
HS-grad,Female,Single,Blue-Collar,White,Private,21,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,26,40,0
School,Male,Married,Service,White,Private,25,40,0
Some-college,Female,Single,White-Collar,White,Private,23,40,0
Some-college,Male,Married,Blue-Collar,White,Private,48,60,0
Some-college,Male,Single,Service,White,Private,19,30,0
HS-grad,Male,Married,Blue-Collar,White,Private,56,40,0
HS-grad,Male,Married,White-Collar,White,Private,43,50,1
HS-grad,Female,Single,Other/Unknown,White,Other/Unknown,18,20,0
HS-grad,Male,Married,Blue-Collar,White,Private,30,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,28,40,0
Assoc,Female,Widowed,Service,White,Private,42,24,0
HS-grad,Female,Single,Service,White,Private,52,45,0
Some-college,Male,Married,Blue-Collar,White,Private,38,40,1
School,Female,Single,Service,White,Private,23,40,0
Assoc,Female,Divorced,Professional,White,Government,50,40,0
Assoc,Female,Divorced,Service,White,Private,35,50,0
HS-grad,Male,Single,Sales,White,Private,23,40,0
HS-grad,Male,Married,White-Collar,White,Government,39,50,0
Doctorate,Female,Married,White-Collar,White,Private,38,36,1
Some-college,Female,Single,Service,Other,Self-Employed,19,35,0
Some-college,Male,Single,White-Collar,White,Private,21,10,0
Bachelors,Male,Divorced,Professional,Other,Private,44,40,0
Bachelors,Male,Married,Sales,White,Private,44,60,1
Some-college,Female,Single,White-Collar,White,Private,38,45,0
Some-college,Female,Widowed,White-Collar,White,Private,53,22,0
HS-grad,Male,Married,Blue-Collar,White,Private,41,40,0
HS-grad,Male,Married,Blue-Collar,Other,Private,41,50,0
Bachelors,Female,Single,White-Collar,White,Private,27,65,0
Masters,Female,Single,Professional,Other,Government,29,20,0
Some-college,Male,Married,Sales,White,Self-Employed,60,50,0
Some-college,Female,Divorced,Blue-Collar,White,Self-Employed,48,40,0
HS-grad,Female,Divorced,Blue-Collar,White,Private,29,40,0
Assoc,Female,Single,Professional,Other,Private,36,38,0
Some-college,Male,Married,Blue-Collar,White,Private,46,40,0
Bachelors,Female,Divorced,White-Collar,White,Private,40,20,0
HS-grad,Female,Divorced,White-Collar,White,Self-Employed,50,35,1
Bachelors,Male,Single,Sales,White,Private,34,40,1
Assoc,Male,Single,Other/Unknown,White,Other/Unknown,35,55,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,51,60,1
Some-college,Female,Single,Other/Unknown,White,Other/Unknown,19,24,0
Bachelors,Female,Single,Professional,Other,Government,26,35,0
HS-grad,Male,Single,Blue-Collar,White,Private,30,40,0
HS-grad,Female,Single,Service,Other,Private,27,40,0
Masters,Male,Married,White-Collar,White,Private,38,60,1
Assoc,Male,Married,Blue-Collar,White,Private,58,40,0
Some-college,Female,Divorced,White-Collar,White,Government,51,40,0
HS-grad,Female,Divorced,Service,White,Private,57,40,0
School,Male,Single,Blue-Collar,White,Self-Employed,23,60,0
School,Male,Married,Blue-Collar,White,Private,42,40,0
Bachelors,Male,Divorced,Professional,White,Self-Employed,45,45,0
Some-college,Male,Single,Blue-Collar,White,Private,45,45,0
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,29,27,0
School,Female,Single,Service,White,Private,27,65,0
Assoc,Male,Married,White-Collar,White,Private,54,40,1
Masters,Male,Single,White-Collar,White,Private,33,40,0
Bachelors,Female,Single,White-Collar,White,Private,26,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,37,40,0
Bachelors,Male,Married,Professional,White,Private,39,40,1
Bachelors,Female,Single,Other/Unknown,Other,Other/Unknown,22,15,0
Some-college,Female,Single,White-Collar,Other,Private,43,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Self-Employed,41,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,42,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,38,65,0
HS-grad,Male,Married,Sales,White,Private,30,52,1
HS-grad,Female,Divorced,Blue-Collar,Other,Private,58,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,21,60,0
Bachelors,Female,Separated,Sales,White,Private,33,50,1
HS-grad,Male,Married,Blue-Collar,White,Private,33,35,0
HS-grad,Female,Divorced,Sales,White,Private,30,54,0
Some-college,Female,Widowed,Service,White,Private,45,45,0
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,38,60,0
Some-college,Female,Married,Sales,Other,Private,22,22,0
Some-college,Male,Single,Service,White,Private,20,33,0
HS-grad,Male,Married,Blue-Collar,White,Private,49,40,1
School,Female,Single,Blue-Collar,White,Private,23,40,0
Doctorate,Male,Married,Professional,White,Government,31,70,1
Bachelors,Male,Married,White-Collar,White,Private,55,50,1
HS-grad,Male,Married,Blue-Collar,White,Private,28,38,0
HS-grad,Female,Single,White-Collar,White,Government,40,40,0
Some-college,Male,Married,Blue-Collar,White,Private,40,40,0
School,Male,Married,Blue-Collar,White,Private,38,36,0
Some-college,Male,Single,Service,White,Private,45,40,0
Bachelors,Male,Married,White-Collar,White,Private,28,45,0
School,Male,Divorced,Other/Unknown,White,Other/Unknown,66,10,0
Some-college,Female,Divorced,White-Collar,White,Private,36,40,0
HS-grad,Male,Married,White-Collar,White,Private,50,40,1
HS-grad,Male,Single,Sales,White,Private,19,20,0
Some-college,Male,Married,Blue-Collar,White,Private,26,45,1
Some-college,Female,Divorced,Other/Unknown,White,Other/Unknown,56,20,0
HS-grad,Male,Married,White-Collar,White,Private,30,50,0
HS-grad,Male,Married,Service,White,Private,37,40,0
School,Female,Single,White-Collar,White,Private,90,40,0
Assoc,Male,Married,White-Collar,White,Private,48,40,1
Prof-school,Male,Married,Professional,White,Self-Employed,39,50,1
Bachelors,Male,Married,White-Collar,White,Private,44,70,1
Some-college,Male,Married,Sales,White,Self-Employed,43,55,1
Assoc,Female,Single,White-Collar,White,Private,26,45,0
School,Male,Divorced,Blue-Collar,White,Private,39,46,0
Assoc,Female,Divorced,Sales,White,Private,46,40,0
Bachelors,Male,Married,Blue-Collar,White,Self-Employed,41,75,1
Bachelors,Male,Single,Professional,White,Private,23,50,0
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,24,40,0
School,Male,Married,Sales,White,Private,35,65,0
Bachelors,Male,Single,Professional,White,Government,23,40,0
Some-college,Female,Single,White-Collar,Other,Private,33,38,0
Some-college,Female,Single,Other/Unknown,White,Other/Unknown,22,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,40,35,0
HS-grad,Male,Married,Service,White,Government,38,40,1
Bachelors,Female,Widowed,Service,White,Private,65,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,46,40,0
Masters,Female,Single,Professional,White,Private,23,30,0
HS-grad,Female,Single,White-Collar,White,Private,19,40,0
HS-grad,Female,Divorced,Service,White,Private,45,40,0
Some-college,Male,Married,Service,White,Government,22,25,0
HS-grad,Male,Married,Blue-Collar,White,Private,70,40,1
HS-grad,Female,Single,Service,Other,Private,20,25,0
HS-grad,Male,Married,Blue-Collar,Other,Private,29,40,0
Some-college,Male,Single,White-Collar,White,Government,29,40,0
HS-grad,Male,Married,Sales,White,Private,36,40,1
Bachelors,Male,Married,Professional,White,Government,48,40,0
HS-grad,Female,Single,White-Collar,Other,Private,42,40,0
Masters,Male,Married,White-Collar,White,Private,46,55,1
Some-college,Male,Married,Service,Other,Private,32,16,0
Some-college,Female,Single,Service,White,Private,22,50,0
Assoc,Male,Married,White-Collar,White,Self-Employed,34,60,1
Bachelors,Male,Married,Blue-Collar,White,Self-Employed,45,20,0
Masters,Male,Married,White-Collar,White,Private,35,40,0
Bachelors,Female,Divorced,Professional,White,Private,43,40,1
Some-college,Male,Married,Sales,Other,Self-Employed,28,63,0
Bachelors,Male,Married,Sales,White,Self-Employed,47,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,30,60,0
HS-grad,Male,Married,Blue-Collar,Other,Private,28,40,0
HS-grad,Female,Single,Sales,White,Private,18,40,0
Bachelors,Female,Married,Sales,White,Private,39,30,0
School,Female,Divorced,White-Collar,White,Private,33,40,1
Some-college,Female,Single,Blue-Collar,Other,Private,23,40,0
Some-college,Male,Single,Service,White,Private,20,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,26,40,0
Some-college,Male,Married,Other/Unknown,White,Other/Unknown,66,50,0
School,Female,Married,Service,Other,Private,54,40,1
HS-grad,Male,Single,White-Collar,White,Private,21,40,0
Some-college,Male,Married,Service,White,Private,64,40,0
School,Male,Married,White-Collar,White,Government,53,40,0
Some-college,Female,Single,Sales,White,Private,23,20,0
HS-grad,Male,Married,Blue-Collar,White,Private,32,72,0
Assoc,Male,Divorced,Service,White,Government,23,56,0
Some-college,Male,Married,Service,White,Private,30,50,1
Bachelors,Male,Married,Blue-Collar,White,Private,31,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,47,40,0
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,20,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,33,40,0
School,Male,Married,Blue-Collar,White,Private,34,40,0
Some-college,Male,Single,Blue-Collar,White,Private,22,20,0
Bachelors,Male,Married,Service,White,Private,42,40,1
HS-grad,Female,Single,Blue-Collar,White,Private,44,40,0
HS-grad,Female,Single,White-Collar,Other,Private,32,35,0
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,37,85,0
School,Female,Married,Service,White,Private,49,40,0
Bachelors,Male,Married,Professional,White,Private,38,50,1
Some-college,Female,Single,White-Collar,Other,Government,40,49,0
Assoc,Male,Married,Sales,White,Private,40,50,0
School,Female,Single,Sales,White,Private,17,12,0
Assoc,Male,Married,Blue-Collar,White,Private,28,40,0
Some-college,Female,Single,Sales,White,Private,21,40,0
School,Male,Single,Blue-Collar,White,Private,31,40,0
Bachelors,Female,Single,Sales,Other,Private,23,25,0
Assoc,Male,Married,Blue-Collar,White,Self-Employed,36,75,0
Some-college,Male,Separated,Blue-Collar,White,Private,41,35,0
Some-college,Male,Married,White-Collar,White,Private,54,44,1
HS-grad,Male,Single,Blue-Collar,White,Private,21,40,0
Bachelors,Male,Married,White-Collar,White,Private,33,55,0
Some-college,Female,Single,Service,White,Private,30,36,0
Some-college,Male,Single,Blue-Collar,White,Private,24,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,37,60,0
HS-grad,Female,Single,Service,Other,Private,27,40,0
School,Male,Married,Blue-Collar,White,Self-Employed,44,40,0
Some-college,Male,Married,Blue-Collar,White,Self-Employed,31,40,0
HS-grad,Female,Married,White-Collar,White,Private,44,30,0
HS-grad,Male,Single,Other/Unknown,White,Other/Unknown,20,40,0
Bachelors,Female,Single,Professional,Other,Government,63,21,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,31,55,0
Assoc,Male,Separated,Sales,Other,Self-Employed,51,30,0
HS-grad,Male,Married,White-Collar,White,Private,50,32,0
Assoc,Male,Married,Professional,White,Private,47,40,1
Prof-school,Male,Married,Professional,White,Private,38,99,1
HS-grad,Male,Single,Service,White,Private,20,30,0
Bachelors,Female,Single,White-Collar,White,Private,29,40,0
Some-college,Female,Divorced,Blue-Collar,Other,Private,40,40,0
Masters,Male,Single,Service,Other,Private,32,11,0
HS-grad,Male,Married,White-Collar,White,Private,70,30,0
Prof-school,Female,Single,Professional,White,Private,29,55,0
School,Male,Single,Blue-Collar,Other,Private,38,40,0
HS-grad,Male,Married,White-Collar,White,Self-Employed,58,40,1
Assoc,Male,Divorced,Other/Unknown,White,Other/Unknown,59,48,0
Bachelors,Male,Married,Sales,White,Private,39,50,1
Masters,Male,Married,Professional,White,Private,33,37,1
Some-college,Male,Single,Professional,White,Private,20,35,0
School,Male,Married,Blue-Collar,White,Private,39,40,0
Prof-school,Male,Married,Professional,White,Self-Employed,43,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,58,20,0
Bachelors,Male,Married,White-Collar,White,Private,31,45,1
HS-grad,Male,Single,Blue-Collar,White,Private,21,50,0
HS-grad,Male,Married,Other/Unknown,White,Other/Unknown,62,30,0
HS-grad,Male,Separated,Blue-Collar,White,Private,53,35,0
Bachelors,Male,Widowed,Blue-Collar,White,Self-Employed,74,8,1
School,Male,Married,Blue-Collar,White,Self-Employed,26,99,0
Some-college,Female,Single,Sales,White,Private,23,12,0
Bachelors,Male,Single,White-Collar,White,Private,29,50,0
Some-college,Male,Married,Sales,White,Private,25,50,0
HS-grad,Male,Married,Sales,White,Private,25,48,0
Masters,Male,Married,White-Collar,White,Private,44,40,0
Some-college,Male,Married,Blue-Collar,White,Private,24,65,0
HS-grad,Female,Separated,Service,White,Private,40,47,0
HS-grad,Male,Married,Sales,White,Self-Employed,73,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,22,30,0
HS-grad,Male,Married,Blue-Collar,Other,Private,28,40,0
HS-grad,Male,Married,White-Collar,White,Private,28,50,1
HS-grad,Female,Single,Other/Unknown,White,Other/Unknown,19,30,0
Some-college,Male,Single,Blue-Collar,White,Private,20,40,0
Bachelors,Male,Married,White-Collar,White,Self-Employed,42,60,1
Masters,Male,Married,White-Collar,Other,Private,35,65,1
School,Male,Single,Service,White,Government,24,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,60,40,1
HS-grad,Male,Divorced,Service,Other,Government,67,20,0
HS-grad,Male,Divorced,Blue-Collar,Other,Private,44,20,0
Bachelors,Male,Married,Sales,White,Private,28,60,1
Bachelors,Male,Married,Sales,White,Self-Employed,36,45,1
HS-grad,Male,Single,Blue-Collar,White,Self-Employed,39,40,0
HS-grad,Female,Separated,Service,White,Private,31,40,0
Some-college,Female,Single,Professional,White,Government,21,20,0
Bachelors,Male,Single,Service,White,Private,26,40,0
Some-college,Male,Single,Blue-Collar,White,Private,22,48,0
HS-grad,Male,Married,White-Collar,White,Private,58,60,1
HS-grad,Female,Single,Blue-Collar,White,Private,27,40,0
Masters,Male,Single,Professional,White,Government,32,60,0
School,Female,Single,Professional,White,Private,39,30,0
Some-college,Male,Single,Sales,White,Private,19,40,0
HS-grad,Male,Divorced,Blue-Collar,White,Private,35,60,0
Bachelors,Male,Married,Professional,White,Private,29,40,1
Some-college,Female,Single,Service,White,Private,39,25,0
Bachelors,Male,Single,Professional,Other,Private,27,40,0
Some-college,Male,Single,White-Collar,White,Private,20,30,0
Some-college,Male,Married,White-Collar,White,Private,51,60,1
School,Female,Separated,Blue-Collar,White,Private,36,40,0
School,Male,Single,Service,White,Private,22,35,0
School,Male,Single,Blue-Collar,Other,Private,29,40,0
HS-grad,Male,Married,Sales,White,Self-Employed,35,65,1
Bachelors,Male,Single,Professional,White,Private,27,45,0
Masters,Male,Separated,Professional,White,Private,57,32,1
HS-grad,Male,Married,Service,White,Self-Employed,80,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,21,40,0
School,Male,Married,Sales,White,Private,63,22,0
Bachelors,Female,Married,Professional,White,Private,31,43,1
HS-grad,Female,Single,Service,Other,Private,56,40,0
Bachelors,Male,Married,Blue-Collar,White,Private,39,40,0
HS-grad,Female,Divorced,Sales,Other,Private,24,48,0
HS-grad,Male,Single,Service,White,Private,26,24,0
Bachelors,Female,Single,White-Collar,Other,Private,27,40,0
Some-college,Male,Divorced,White-Collar,Other,Private,32,40,0
HS-grad,Male,Single,Service,White,Private,31,40,0
Some-college,Male,Married,Blue-Collar,Other,Self-Employed,29,40,0
HS-grad,Male,Married,Blue-Collar,Other,Government,46,40,0
HS-grad,Male,Single,Blue-Collar,White,Private,32,40,0
Assoc,Male,Married,Blue-Collar,White,Private,30,40,1
Assoc,Male,Single,Sales,White,Private,43,40,0
Assoc,Male,Married,White-Collar,White,Private,25,45,0
Some-college,Male,Married,Blue-Collar,White,Private,44,40,0
Some-college,Male,Married,Blue-Collar,White,Private,42,40,1
Bachelors,Female,Single,Sales,White,Private,24,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,38,40,1
HS-grad,Male,Single,Service,White,Private,39,44,0
Some-college,Male,Married,White-Collar,White,Self-Employed,45,80,0
Bachelors,Male,Married,White-Collar,White,Private,37,50,1
School,Male,Divorced,Blue-Collar,White,Government,49,40,0
Masters,Male,Married,Professional,White,Private,52,40,1
HS-grad,Male,Single,Blue-Collar,White,Private,44,70,0
Masters,Male,Single,Professional,White,Private,62,70,0
School,Male,Single,Service,White,Private,17,10,0
Assoc,Male,Married,Blue-Collar,Other,Private,33,40,0
Bachelors,Male,Married,Professional,White,Private,36,50,1
Bachelors,Male,Married,Sales,White,Private,43,50,0
Some-college,Female,Divorced,Sales,White,Private,36,45,0
HS-grad,Male,Single,Blue-Collar,White,Private,24,30,0
Bachelors,Male,Married,Professional,White,Private,53,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,58,40,0
HS-grad,Male,Married,Blue-Collar,White,Government,61,40,0
School,Male,Divorced,Blue-Collar,White,Private,31,70,0
Some-college,Male,Married,White-Collar,White,Private,49,45,1
HS-grad,Female,Separated,White-Collar,White,Government,45,40,0
Assoc,Female,Single,White-Collar,White,Government,31,40,0
Assoc,Male,Single,Professional,White,Private,25,55,0
School,Male,Single,Blue-Collar,White,Self-Employed,17,20,0
HS-grad,Male,Married,White-Collar,White,Government,63,55,0
School,Male,Married,Blue-Collar,White,Self-Employed,54,50,0
HS-grad,Male,Single,White-Collar,White,Private,25,45,0
School,Female,Separated,Blue-Collar,White,Private,32,40,0
HS-grad,Male,Single,Service,White,Private,21,40,0
HS-grad,Male,Single,Service,White,Private,28,60,0
School,Male,Married,Blue-Collar,Other,Private,44,40,0
School,Male,Married,Sales,White,Private,45,40,1
Some-college,Male,Divorced,Blue-Collar,White,Private,44,40,0
Some-college,Male,Married,Blue-Collar,White,Private,42,89,1
Some-college,Male,Divorced,Blue-Collar,White,Self-Employed,58,40,0
Some-college,Male,Married,Service,White,Self-Employed,35,40,0
Assoc,Male,Married,Service,White,Private,56,40,1
Assoc,Male,Divorced,White-Collar,Other,Private,50,40,0
School,Female,Single,Sales,White,Private,17,12,0
Some-college,Female,Single,White-Collar,White,Private,26,40,0
Some-college,Female,Single,Service,White,Self-Employed,24,75,0
Bachelors,Female,Single,Professional,White,Private,29,72,0
HS-grad,Female,Married,Other/Unknown,White,Other/Unknown,22,22,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,73,40,0
Bachelors,Female,Single,Professional,White,Private,24,20,0
HS-grad,Male,Married,Blue-Collar,White,Government,30,25,0
Bachelors,Male,Married,Professional,White,Private,39,55,1
Assoc,Male,Single,White-Collar,White,Private,27,40,0
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,32,45,1
School,Male,Married,Sales,White,Private,59,60,0
HS-grad,Male,Married,Service,White,Government,24,40,0
Doctorate,Female,Single,Professional,White,Government,51,70,1
Bachelors,Male,Divorced,Professional,White,Government,49,40,0
Bachelors,Female,Widowed,Other/Unknown,White,Other/Unknown,75,6,0
School,Male,Divorced,Service,White,Private,49,48,0
HS-grad,Male,Married,Blue-Collar,White,Private,48,55,0
HS-grad,Female,Single,White-Collar,White,Private,31,50,0
HS-grad,Male,Single,Blue-Collar,White,Private,19,25,0
HS-grad,Male,Married,Blue-Collar,Other,Private,30,40,0
Some-college,Male,Married,White-Collar,White,Private,55,60,1
HS-grad,Male,Single,Sales,White,Private,27,40,0
Some-college,Male,Married,Service,White,Government,59,40,1
Some-college,Female,Divorced,White-Collar,White,Private,28,40,0
Some-college,Male,Single,Professional,White,Self-Employed,39,12,1
HS-grad,Female,Single,White-Collar,White,Private,19,40,0
Bachelors,Female,Divorced,White-Collar,White,Self-Employed,35,55,0
Bachelors,Male,Married,Professional,White,Private,37,55,1
Some-college,Male,Married,White-Collar,White,Private,31,40,0
Bachelors,Male,Married,Professional,White,Private,41,55,1
Bachelors,Female,Single,Service,White,Private,23,40,0
Bachelors,Male,Married,Blue-Collar,White,Self-Employed,44,90,0
Some-college,Male,Married,Other/Unknown,White,Other/Unknown,58,40,1
Some-college,Female,Single,White-Collar,White,Private,26,40,0
Some-college,Male,Married,White-Collar,White,Private,65,40,0
Some-college,Female,Married,Sales,White,Private,23,47,0
HS-grad,Male,Married,Blue-Collar,White,Private,26,40,1
HS-grad,Male,Married,Blue-Collar,White,Self-Employed,47,48,0
HS-grad,Male,Married,Sales,White,Private,34,60,0
HS-grad,Male,Married,Professional,White,Private,50,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,30,40,0
HS-grad,Male,Single,Service,Other,Private,22,80,0
Assoc,Male,Married,Blue-Collar,White,Private,40,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,42,40,1
Assoc,Male,Single,Service,White,Private,21,30,0
Bachelors,Male,Married,White-Collar,White,Private,32,43,1
HS-grad,Male,Single,Blue-Collar,White,Private,32,40,0
Masters,Female,Divorced,Professional,White,Private,50,35,0
HS-grad,Male,Married,Blue-Collar,White,Private,32,40,0
Bachelors,Female,Single,Service,White,Private,23,40,0
HS-grad,Male,Married,Blue-Collar,White,Private,73,16,0
Some-college,Male,Single,Blue-Collar,White,Government,20,40,0
Some-college,Male,Single,Blue-Collar,Other,Private,27,40,0
Masters,Male,Single,Professional,White,Private,30,45,1
Bachelors,Female,Divorced,White-Collar,White,Private,42,40,0
Some-college,Male,Married,Blue-Collar,Other,Private,33,50,1
Some-college,Male,Married,Blue-Collar,White,Self-Employed,58,60,0
HS-grad,Male,Married,Professional,White,Private,31,40,1
School,Male,Single,Blue-Collar,White,Private,21,50,0
School,Male,Single,Other/Unknown,White,Other/Unknown,18,25,0
Some-college,Female,Married,Professional,White,Private,24,40,1
Some-college,Male,Single,Service,White,Private,21,57,0
HS-grad,Male,Married,Blue-Collar,White,Private,45,40,1
Assoc,Male,Married,Service,White,Government,30,40,0
Bachelors,Male,Separated,White-Collar,White,Private,59,60,0
Assoc,Male,Divorced,White-Collar,White,Self-Employed,38,45,0
HS-grad,Female,Divorced,Service,White,Private,51,40,0
Some-college,Male,Divorced,Blue-Collar,Other,Private,31,40,0
Some-college,Female,Married,White-Collar,White,Private,37,45,1
Some-college,Female,Married,Service,White,Private,30,40,0
Assoc,Female,Married,Blue-Collar,White,Private,28,30,0
Bachelors,Male,Married,Professional,White,Self-Employed,56,40,1
HS-grad,Male,Married,Blue-Collar,White,Private,56,48,1
HS-grad,Female,Divorced,Blue-Collar,Other,Private,48,38,0
Assoc,Male,Married,Blue-Collar,White,Self-Employed,47,65,0
Assoc,Male,Married,Service,White,Private,22,40,0
Doctorate,Male,Married,Professional,Other,Government,55,40,1
Bachelors,Female,Married,Other/Unknown,White,Other/Unknown,41,30,1
Prof-school,Male,Married,Professional,White,Private,30,50,0
